,author_name,book_name,book_category,book_language,number_of_pages,publisher,book_size
149,أحمد خالد توفيق,تايبي للكاتب احمد خالد توفيق ,   الروايات العالمية المترجمة  روايات عربية,Arabic,143,  العربية الحديثة,12.7
150,أحمد خالد توفيق,ساحر اوز ,   الروايات العالمية المترجمة  روايات عربية,Arabic,159,  العربية الحديثة,13
151,أحمد خالد توفيق,الافق المفقود ,   الروايات العالمية المترجمة  روايات عربية,Arabic,157,  العربية الحديثة,13
152,أحمد خالد توفيق,التنين الاحمر ,   الروايات العالمية المترجمة  روايات عربية,Arabic,158,  العربية الحديثة,11.4
153,أحمد خالد توفيق,افضل قصص الاشباح ,   الروايات العالمية المترجمة  روايات عربية,Arabic,127,  العربية الحديثة,9.8
154,أحمد خالد توفيق,الرجل الخفي ,   الروايات العالمية المترجمة  روايات عربية,Arabic,158,  العربية الحديثة,11
155,أحمد خالد توفيق,قطار الجحيم ,   الروايات العالمية المترجمة  روايات عربية,Arabic,156,  العربية الحديثة,10.5
156,أحمد خالد توفيق,الرجل الذي يجمع كتب بو ,   الروايات العالمية المترجمة  روايات عربية,Arabic,142,  العربية الحديثة,10
157,أحمد خالد توفيق,ماتيلدا للكاتب احمد خالد توفيق ,   الروايات العالمية المترجمة  روايات عربية,Arabic,142,  العربية الحديثة,5.9
158,أحمد خالد توفيق,لورد جيم ,   الروايات العالمية المترجمة  روايات عربية,Arabic,142,  العربية الحديثة,6.4
159,أحمد خالد توفيق,نداء كتولو ,   الروايات العالمية المترجمة  روايات عربية,Arabic,127,  العربية الحديثة,6
160,أحمد خالد توفيق,عبودية الانسان ,   الروايات العالمية المترجمة  روايات عربية,Arabic,158,  العربية الحديثة,7.6
161,أحمد خالد توفيق,قلعة الاسرار ,   الروايات العالمية المترجمة  روايات عربية,Arabic,109,  العربية الحديثة,5.4
162,أحمد خالد توفيق,اليس في بلاد العجائب ,   الروايات العالمية المترجمة  روايات عربية,Arabic,143,  العربية الحديثة,6.9
163,أحمد خالد توفيق,مغامرات ارسين لوبين ,   الروايات العالمية المترجمة  روايات عربية,Arabic,143,  العربية الحديثة,6.3
164,أحمد خالد توفيق,جوهرة النجوم ,   الروايات العالمية المترجمة  روايات عربية,Arabic,127,  العربية الحديثة,5.7
165,أحمد خالد توفيق,قاعة المرايا ,   الروايات العالمية المترجمة  روايات عربية,Arabic,126,  العربية الحديثة,5.2
166,أحمد خالد توفيق,محامي الشوارع ,   الروايات العالمية المترجمة  روايات عربية,Arabic,191,  العربية الحديثة,7.6
167,أحمد خالد توفيق,كارميللا للكاتب احمد خالد توفيق ,   الروايات العالمية المترجمة  روايات عربية,Arabic,127,  العربية الحديثة,5.3
168,أحمد خالد توفيق,سليبي هولو ,   الروايات العالمية المترجمة  روايات عربية,Arabic,126,  العربية الحديثة,5.9
169,أحمد خالد توفيق,شرطي المكتبة ,   الروايات العالمية المترجمة  روايات عربية,Arabic,158,  العربية الحديثة,7
170,أحمد خالد توفيق,قصص من ازيموف ,   الروايات العالمية المترجمة  روايات عربية,Arabic,175,  العربية الحديثة,7.7
171,أحمد خالد توفيق,الستار للكاتب احمد خالد توفيق ,   الروايات العالمية المترجمة  روايات عربية,Arabic,156,  العربية الحديثة,6.7
172,أحمد خالد توفيق,حكايات اندرسن ,   الروايات العالمية المترجمة  روايات عربية,Arabic,141,  العربية الحديثة,6.2
173,أحمد خالد توفيق,غريب في ارض غريبة ج2 ,   الروايات العالمية المترجمة  روايات عربية,Arabic,120,  العربية الحديثة,6
174,أحمد خالد توفيق,غريب في ارض غريبة ج1 ,   الروايات العالمية المترجمة  روايات عربية,Arabic,127,  العربية الحديثة,6
175,أحمد خالد توفيق,موبي ديك ,   الروايات العالمية المترجمة  روايات عربية,Arabic,186,  العربية الحديثة,9.2
176,أحمد خالد توفيق,1984 ج2 للكاتب احمد خالد توفيق ,   الروايات العالمية المترجمة  روايات عربية,Arabic,110,  العربية الحديثة,5.7
177,أحمد خالد توفيق,1984 ج1 للكاتب احمد خالد توفيق ,   الروايات العالمية المترجمة  روايات عربية,Arabic,110,  العربية الحديثة,5.5
178,أحمد خالد توفيق,حكايات مارك توين ,   الروايات العالمية المترجمة  روايات عربية,Arabic,155,  العربية الحديثة,6.9
179,أحمد خالد توفيق,دكتور جيكل ومستر هايد ,   الروايات العالمية المترجمة  روايات عربية,Arabic,142,  العربية الحديثة,6.7
180,أحمد خالد توفيق,اوديسا الفضاء ,   الروايات العالمية المترجمة  روايات عربية,Arabic,171,  العربية الحديثة,7.5
181,أحمد خالد توفيق,كتب الدم ,   الروايات العالمية المترجمة  روايات عربية,Arabic,155,  العربية الحديثة,7.3
182,أحمد خالد توفيق,قلب الظلام ,   الروايات العالمية المترجمة  روايات عربية,Arabic,139,  العربية الحديثة,6.4
183,أحمد خالد توفيق,حكايات اوسكار وايلد ,   الروايات العالمية المترجمة  روايات عربية,Arabic,158,  العربية الحديثة,7
184,أحمد خالد توفيق,دورة المذءوب ,   الروايات العالمية المترجمة  روايات عربية,Arabic,124,  العربية الحديثة,5.7
185,أحمد خالد توفيق,فهرنهايت 451 ,   الروايات العالمية المترجمة  روايات عربية,Arabic,138,  العربية الحديثة,6.5
